#separator:Comma
#html:true
#notetype:Basic
#deck:JLPT-N3-單字
#tags column:3
#columns:Front,Back,Tags
"減少","讀音：げんしょう<br>中文：減少<br>例句：運動不足で体力が減少しました。","JLPT_N3 115_07 W1 詞彙"
"対応","讀音：たいおう<br>中文：應對、處理<br>例句：問題が起きたとき、落ち着いて対応しました。","JLPT_N3 115_07 W1 詞彙"
"達成","讀音：たっせい<br>中文：達成<br>例句：今年中にN3合格という目標を達成したいです。","JLPT_N3 115_07 W1 詞彙"
"提案","讀音：ていあん<br>中文：提案<br>例句：会議で新しい学習方法を提案しました。","JLPT_N3 115_07 W1 詞彙"
"比較","讀音：ひかく<br>中文：比較<br>例句：二つの教材を比較してから選びます。","JLPT_N3 115_07 W1 詞彙"
"必要","讀音：ひつよう<br>中文：必要<br>例句：申し込みには身分証明書が必要です。","JLPT_N3 115_07 W1 詞彙"
"方法","讀音：ほうほう<br>中文：方法<br>例句：自分に合う復習方法を探しています。","JLPT_N3 115_07 W1 詞彙"
"目的","讀音：もくてき<br>中文：目的<br>例句：この計画の目的は日本語力を伸ばすことです。","JLPT_N3 115_07 W1 詞彙"
"予定","讀音：よてい<br>中文：預定、計畫<br>例句：週末に模擬試験を受ける予定です。","JLPT_N3 115_07 W1 詞彙"
"利用","讀音：りよう<br>中文：利用<br>例句：通学時間を利用して単語を復習します。","JLPT_N3 115_07 W1 詞彙"
"理解","讀音：りかい<br>中文：理解<br>例句：例文を読むと文法が理解しやすくなります。","JLPT_N3 115_07 W1 詞彙"
"連絡","讀音：れんらく<br>中文：聯絡<br>例句：到着が遅れる場合は先生に連絡します。","JLPT_N3 115_07 W1 詞彙"
"準備","讀音：じゅんび<br>中文：準備<br>例句：明日の授業の準備をしておきました。","JLPT_N3 115_07 W1 詞彙"
"続ける","讀音：つづける<br>中文：繼續<br>例句：短い時間でも毎日勉強を続けます。","JLPT_N3 115_07 W1 詞彙"
"決める","讀音：きめる<br>中文：決定<br>例句：今週学ぶ範囲を日曜日に決めます。","JLPT_N3 115_07 W1 詞彙"
"選ぶ","讀音：えらぶ<br>中文：選擇<br>例句：自分のレベルに合った本を選びました。","JLPT_N3 115_07 W1 詞彙"
"調べる","讀音：しらべる<br>中文：調查、查詢<br>例句：知らない言葉の使い方を辞書で調べます。","JLPT_N3 115_07 W1 詞彙"
"届ける","讀音：とどける<br>中文：送達<br>例句：必要な書類を学校へ届けました。","JLPT_N3 115_07 W1 詞彙"
"間に合う","讀音：まにあう<br>中文：趕得上、來得及<br>例句：急げば九時の電車に間に合います。","JLPT_N3 115_07 W1 詞彙"
"確かめる","讀音：たしかめる<br>中文：確認、查明<br>例句：答えを見る前に、もう一度自分で確かめます。","JLPT_N3 115_07 W1 詞彙"
"断る","讀音：ことわる<br>中文：拒絕<br>例句：時間がなかったので、そのお願いを断りました。","JLPT_N3 115_07 W1 詞彙"
"認める","讀音：みとめる<br>中文：承認、認可<br>例句：自分の間違いを認めることも大切です。","JLPT_N3 115_07 W1 詞彙"
"求める","讀音：もとめる<br>中文：尋求、要求<br>例句：困ったときは先生に助けを求めます。","JLPT_N3 115_07 W1 詞彙"
"支える","讀音：ささえる<br>中文：支持、支撐<br>例句：家族が私の学習を支えてくれています。","JLPT_N3 115_07 W1 詞彙"
"防ぐ","讀音：ふせぐ<br>中文：防止<br>例句：同じ間違いを防ぐために、錯題カードを作ります。","JLPT_N3 115_07 W1 詞彙"
"含む","讀音：ふくむ<br>中文：包含<br>例句：この料金には教材費も含まれています。","JLPT_N3 115_07 W1 詞彙"
"省く","讀音：はぶく<br>中文：省略、刪除<br>例句：時間を節約するため、不要な作業を省きました。","JLPT_N3 115_07 W1 詞彙"
"任せる","讀音：まかせる<br>中文：交給、委託<br>例句：この仕事は経験のある人に任せましょう。","JLPT_N3 115_07 W1 詞彙"
"戻る","讀音：もどる<br>中文：返回<br>例句：忘れ物に気づいて家へ戻りました。","JLPT_N3 115_07 W1 詞彙"
"進む","讀音：すすむ<br>中文：前進、進行<br>例句：計画どおりに学習が進んでいます。","JLPT_N3 115_07 W1 詞彙"
"遅れる","讀音：おくれる<br>中文：遲到、延誤<br>例句：バスが遅れて、授業に間に合いませんでした。","JLPT_N3 115_07 W1 詞彙"
"現れる","讀音：あらわれる<br>中文：出現、顯現<br>例句：練習の効果が少しずつ現れてきました。","JLPT_N3 115_07 W1 詞彙"
"比べる","讀音：くらべる<br>中文：比較<br>例句：先月の成績と今月の成績を比べます。","JLPT_N3 115_07 W1 詞彙"
"かなり","讀音：かなり<br>中文：相當、頗為<br>例句：この問題はかなり難しかったです。","JLPT_N3 115_07 W1 詞彙"
"ほとんど","讀音：ほとんど<br>中文：幾乎、大部分<br>例句：宿題はほとんど終わりました。","JLPT_N3 115_07 W1 詞彙"
"しばらく","讀音：しばらく<br>中文：暫時、一會兒<br>例句：しばらく休んでから勉強を再開します。","JLPT_N3 115_07 W1 詞彙"
"そろそろ","讀音：そろそろ<br>中文：差不多該……<br>例句：そろそろ試験の申し込みを確認しましょう。","JLPT_N3 115_07 W1 詞彙"
"ついに","讀音：ついに<br>中文：終於<br>例句：毎日練習して、ついに目標を達成しました。","JLPT_N3 115_07 W1 詞彙"
"たまたま","讀音：たまたま<br>中文：偶然<br>例句：図書館でたまたま先生に会いました。","JLPT_N3 115_07 W1 詞彙"
"どうしても","讀音：どうしても<br>中文：無論如何；怎麼也……<br>例句：この文法がどうしても理解できません。","JLPT_N3 115_07 W1 詞彙"
"なるべく","讀音：なるべく<br>中文：盡可能<br>例句：なるべく毎日同じ時間に復習します。","JLPT_N3 115_07 W1 詞彙"
"必ず","讀音：かならず<br>中文：一定、必定<br>例句：申し込み後は必ず支払いを確認してください。","JLPT_N3 115_07 W1 詞彙"
"特に","讀音：とくに<br>中文：特別、尤其<br>例句：聴解が弱いので、今月は特に力を入れます。","JLPT_N3 115_07 W1 詞彙"
"一般的","讀音：いっぱんてき<br>中文：一般的<br>例句：これは一般的な勉強方法です。","JLPT_N3 115_07 W1 詞彙"
"具体的","讀音：ぐたいてき<br>中文：具體的<br>例句：来週の目標を具体的に書きました。","JLPT_N3 115_07 W1 詞彙"
"積極的","讀音：せっきょくてき<br>中文：積極的<br>例句：授業では積極的に質問するようにしています。","JLPT_N3 115_07 W1 詞彙"
"適切","讀音：てきせつ<br>中文：適當、恰當<br>例句：状況に応じて適切な方法を選びましょう。","JLPT_N3 115_07 W1 詞彙"
"十分","讀音：じゅうぶん<br>中文：充分<br>例句：試験までまだ十分な時間があります。","JLPT_N3 115_07 W1 詞彙"
"重要","讀音：じゅうよう<br>中文：重要<br>例句：毎日の復習は新しい単語を覚えるうえで重要です。","JLPT_N3 115_07 W1 詞彙"
"複雑","讀音：ふくざつ<br>中文：複雜<br>例句：この文法は少し複雑ですが、例文で理解できます。","JLPT_N3 115_07 W1 詞彙"
"不安","讀音：ふあん<br>中文：不安<br>例句：初めての試験なので少し不安です。","JLPT_N3 115_07 W1 詞彙"
"無理","讀音：むり<br>中文：勉強、難以做到；勉強自己<br>例句：忙しい日に無理をすると、長く続きません。","JLPT_N3 115_07 W1 詞彙"
"確実","讀音：かくじつ<br>中文：確實、可靠<br>例句：毎日復習すれば、単語を確実に覚えられます。","JLPT_N3 115_07 W1 詞彙"
"急に","讀音：きゅうに<br>中文：突然<br>例句：急に雨が降り始めました。","JLPT_N3 115_07 W1 詞彙"
"徐々に","讀音：じょじょに<br>中文：逐漸<br>例句：毎日聞いていると、徐々に速さに慣れてきます。","JLPT_N3 115_07 W1 詞彙"
"実際","讀音：じっさい<br>中文：實際、實際上<br>例句：実際に使ってみると、このアプリは便利でした。","JLPT_N3 115_07 W1 詞彙"
"最近","讀音：さいきん<br>中文：最近<br>例句：最近、日本語のニュースを読むようになりました。","JLPT_N3 115_07 W1 詞彙"
"将来","讀音：しょうらい<br>中文：將來<br>例句：将来は日本語を仕事に生かしたいです。","JLPT_N3 115_07 W1 詞彙"
"機会","讀音：きかい<br>中文：機會<br>例句：日本人と話す機会が増えました。","JLPT_N3 115_07 W1 詞彙"
"技術","讀音：ぎじゅつ<br>中文：技術<br>例句：新しい技術について日本語で調べました。","JLPT_N3 115_07 W1 詞彙"
"習慣","讀音：しゅうかん<br>中文：習慣<br>例句：朝に単語を復習する習慣をつけています。","JLPT_N3 115_07 W1 詞彙"
"責任","讀音：せきにん<br>中文：責任<br>例句：自分の仕事には責任を持たなければなりません。","JLPT_N3 115_07 W1 詞彙"
"制度","讀音：せいど<br>中文：制度<br>例句：新しい奨学金制度について説明を聞きました。","JLPT_N3 115_07 W1 詞彙"
"内容","讀音：ないよう<br>中文：內容<br>例句：授業の内容をその日のうちに復習します。","JLPT_N3 115_07 W1 詞彙"
"能力","讀音：のうりょく<br>中文：能力<br>例句：読解能力を伸ばすために毎週文章を読みます。","JLPT_N3 115_07 W1 詞彙"
"判断","讀音：はんだん<br>中文：判斷<br>例句：情報を集めてから判断したほうがいいです。","JLPT_N3 115_07 W1 詞彙"
"変化","讀音：へんか<br>中文：變化<br>例句：毎月の点数の変化を記録しています。","JLPT_N3 115_07 W1 詞彙"
"問題","讀音：もんだい<br>中文：問題<br>例句：難しい問題には印をつけて後で復習します。","JLPT_N3 115_07 W1 詞彙"
"理由","讀音：りゆう<br>中文：理由<br>例句：遅れた理由を先生に説明しました。","JLPT_N3 115_07 W1 詞彙"
"生活","讀音：せいかつ<br>中文：生活<br>例句：日本での生活について書かれた記事を読みました。","JLPT_N3 115_07 W1 詞彙"
"社会","讀音：しゃかい<br>中文：社會<br>例句：日本の社会問題に関心があります。","JLPT_N3 115_07 W1 詞彙"
"文化","讀音：ぶんか<br>中文：文化<br>例句：言葉を通して日本の文化も学べます。","JLPT_N3 115_07 W1 詞彙"
"交通","讀音：こうつう<br>中文：交通<br>例句：この町は交通が便利です。","JLPT_N3 115_07 W1 詞彙"
"参加","讀音：さんか<br>中文：參加<br>例句：来週、日本語の交流会に参加します。","JLPT_N3 115_07 W1 詞彙"
"成功","讀音：せいこう<br>中文：成功<br>例句：計画を成功させるには継続が必要です。","JLPT_N3 115_07 W1 詞彙"
"失敗","讀音：しっぱい<br>中文：失敗<br>例句：失敗から学んで、方法を変えました。","JLPT_N3 115_07 W1 詞彙"
"解決","讀音：かいけつ<br>中文：解決<br>例句：問題を一人で解決できないときは相談します。","JLPT_N3 115_07 W1 詞彙"
"協力","讀音：きょうりょく<br>中文：合作、協助<br>例句：友達に発音練習を協力してもらいました。","JLPT_N3 115_07 W1 詞彙"
"研究","讀音：けんきゅう<br>中文：研究<br>例句：大学で情報技術について研究しています。","JLPT_N3 115_07 W1 詞彙"
"発表","讀音：はっぴょう<br>中文：發表<br>例句：来月、学習成果を発表する予定です。","JLPT_N3 115_07 W1 詞彙"
"申請","讀音：しんせい<br>中文：申請<br>例句：オンラインで補助金を申請しました。","JLPT_N3 115_07 W1 詞彙"
"締め切り","讀音：しめきり<br>中文：截止期限<br>例句：申し込みの締め切りを忘れないでください。","JLPT_N3 115_07 W1 詞彙"
"目標","讀音：もくひょう<br>中文：目標<br>例句：今月の目標は単語を四百語覚えることです。","JLPT_N3 115_07 W1 詞彙"
